,species,genotype,clone,slideID,picnum,slide,lookupID,IAS,Lthick1,Lthick2,avgLthick,Mthickad1,Mthickad2,Avg.Mthickad,Mthickab1,Mthickab2,Avg.Mthickab,Avg.cell.ad,Avg.cell.ab,Avg.dist.maj,Avg.dist.minor,Avg.area.maj,Avg.area.minor,# planes
31,YG,17,2,14,2,2,14.2,0.210816471,1035.67,986.687,1011.1785,353.123,390.674,371.8985,303.745,287.983,295.864,1304.977,1020.6404,329.8443333,356.5135,25105.372,4456.26,2
32,YG,17,2,14,3,2,14.3,0.276111415,1013.088,1168.92,1091.004,401.006,397.872,399.439,313.026,341.759,327.3925,1780.1922,1040.7928,342.947,226.475,28127.1065,5062.12,3
33,YF,2,2,15,1,2,15.1,0.338715113,351.528,371.295,361.4115,87.316,104.995,96.1555,74.726,64.622,69.674,355.5232,387.6394,258.6796,695.1390333400001,8356.370167,3835.18376,1
34,YF,2,2,15,2,2,15.2,0.281252451,521.96,486.202,504.081,110.664,126.897,118.7805,86.77,82.429,84.5995,314.5218,460.6182,380.68,449.5185,19605.976,2562.3794,3
35,YF,2,2,15,3,2,15.3,0.238956679,588.109,542.033,565.071,142.042,133.282,137.662,89.554,87.658,88.606,579.1018,492.6482,346.795,386.5801429,20316.11075,3133.269714,3
36,YF,2,1,16,3,1,16.3,0.360978749,504.467,467.93,486.1985,177.083,167.673,172.378,177.083,168.898,172.9905,1313.834,1328.7048,496.6535,538.0995,21388.8275,2289.189,2
37,YG,19,1,18,1,1,18.1,0.231813639,669.891,770.084,719.9875,230.489,265.239,247.864,263.729,272.08,267.9045,1311.825,996.2384,412.1583333,424.853,18523.5825,3016.9755,2
38,YG,19,1,18,2,1,18.2,0.228437471,913.65,875.356,894.503,329.745,335.592,332.6685,272.121,269.194,270.6575,993.2024,1231.1604,405.9935,653.7375,21716.9545,3142.6965,3
39,YG,19,1,18,3,1,18.3,0.197631395,670.09,632.959,651.5245,232.027,207.346,219.6865,247.864,212.87,230.367,1238.3988,710.45,435.8075,897.146,12680.6,2325.658,3
40,YG,18,1,19,1,1,19.1,0.138684111,564.56,508.919,536.7395,156.517,116.613,136.565,79.846,65.296,72.571,792.2858,533.1806,479.0576667,472.015,11673.72175,4385.043,2
41,YG,18,1,19,2,1,19.2,0.242705641,1283.737,1297.821,1290.779,246.804,208.333,227.5685,125.953,140.742,133.3475,577.8842,496.1306,457.1333333,523.9205,28263.53233,16858.09967,3
42,YG,18,1,19,3,1,19.3,0.278330807,782.304,834.592,808.448,146.314,166.01,156.162,97.469,88.417,92.943,567.9976,403.3324,581.391,481.5592,24675.3665,6467.1355,4
43,YG,18,2,20,1,2,20.1,0.14520054,485.528,546.838,516.183,188.205,260.05,224.1275,150.937,222.956,186.9465,1103.2986,866.898,654.3295,744.165,15866.1265,3121.8655,3
44,YG,18,2,20,2,2,20.2,0.181290521,498.302,458.921,478.6115,189.743,161.124,175.4335,158.255,192.577,175.416,917.2004,933.3782,231.3283333,695.1390333400001,5488.559,3835.18376,1
45,YG,15,1,21,2,1,21.2,0.314926398,952.5,837.627,895.0635,291.801,333.47,312.6355,313.817,271.354,292.5855,1544.8478,1546.3928,630.046,836.105,12755.5945,2814.188,2
