Species ,Biorep,Subtype,Ci ,A,Pairing,Pressure,Temp,Ci_p,Cm,Qobs,Plant
Acara,4,NADP-ME,9.445359718,1.986836011,a,99.25,31.11996269,9.445359718,9.445359718,1800,4
Acara,4,NADP-ME,14.78571831,4.016143231,a,99.25,31.11578751,14.78571831,14.78571831,1800,4
Acara,4,NADP-ME,19.85622233,6.050173573,a,99.25,31.11257362,19.85622233,19.85622233,1800,4
Acara,4,NADP-ME,25.04891126,7.900417906,a,99.25,31.12736893,25.04891126,25.04891126,1800,4
Acara,4,NADP-ME,29.63168659,9.757605503,a,99.25,31.10925674,29.63168659,29.63168659,1800,4
Acara,4,NADP-ME,39.46887061,13.41771897,a,99.25,31.05459404,39.46887061,39.46887061,1800,4
Acara,4,NADP-ME,49.52810179,16.45332221,a,99.25,31.14808464,49.52810179,49.52810179,1800,4
Acara,4,NADP-ME,59.08704919,19.25130508,a,99.25,31.11774254,59.08704919,59.08704919,1800,4
Acara,4,NADP-ME,78.17300841,24.3489202,a,99.25,31.17332268,78.17300841,78.17300841,1800,4
Acara,4,NADP-ME,104.3009975,29.75329287,a,99.25,31.16038513,104.3009975,104.3009975,1800,4
Acara,4,NADP-ME,161.6240761,36.58429501,a,99.25,31.1673317,161.6240761,161.6240761,1800,4
Acara,4,NADP-ME,235.2737172,39.65480565,a,99.25,31.15931892,235.2737172,235.2737172,1800,4
Acara,4,NADP-ME,283.6213128,40.21142451,a,99.25,31.12450027,283.6213128,283.6213128,1800,4
Acara,4,NADP-ME,502.4746988,42.52362019,a,99.25,31.09557343,502.4746988,502.4746988,1800,4
Acara,4,NADP-ME,898.7615683,42.67023464,a,99.25,30.98116112,898.7615683,898.7615683,1800,4
Acara,4,NADP-ME,1488.972006,43.81099875,a,99.25,30.96172142,1488.972006,1488.972006,1800,4
Acara,5,NADP-ME,4.500669909,0.994516074,a,99.5,30.30915451,4.500669909,4.500669909,1800,5
Acara,5,NADP-ME,8.151034024,2.768678705,a,99.5,30.37618828,8.151034024,8.151034024,1800,5
Acara,5,NADP-ME,13.03165587,5.100990144,a,99.5,30.39360619,13.03165587,13.03165587,1800,5
Acara,5,NADP-ME,18.19170809,7.469637588,a,99.5,30.25403214,18.19170809,18.19170809,1800,5
Acara,5,NADP-ME,23.25708888,9.624138251,a,99.5,30.25139809,23.25708888,23.25708888,1800,5
Acara,5,NADP-ME,27.02966421,11.56314048,a,99.5,30.38369179,27.02966421,27.02966421,1800,5
Acara,5,NADP-ME,36.40653524,15.51645014,a,99.5,30.38757515,36.40653524,36.40653524,1800,5
Acara,5,NADP-ME,45.71887666,19.09004787,a,99.5,30.37843323,45.71887666,45.71887666,1800,5
Acara,5,NADP-ME,56.73992772,22.37768383,a,99.5,30.19402885,56.73992772,56.73992772,1800,5
Acara,5,NADP-ME,76.76721269,28.31190788,a,99.5,30.17296219,76.76721269,76.76721269,1800,5
Acara,5,NADP-ME,102.3321125,34.15695891,a,99.5,30.3603363,102.3321125,102.3321125,1800,5
Acara,5,NADP-ME,175.1737051,40.71012965,a,99.5,30.39541245,175.1737051,175.1737051,1800,5
Acara,5,NADP-ME,271.2653484,43.06898497,a,99.5,30.37546921,271.2653484,271.2653484,1800,5
Acara,5,NADP-ME,281.6880033,42.51175893,a,99.5,30.34362793,281.6880033,281.6880033,1800,5
Acara,5,NADP-ME,536.7672994,44.55416694,a,99.5,30.10557365,536.7672994,536.7672994,1800,5
Acara,5,NADP-ME,921.6208947,44.61657256,a,99.5,30.05173874,921.6208947,921.6208947,1800,5
Acara,5,NADP-ME,1500.753978,45.71924955,a,99.5,30.15436554,1500.753978,1500.753978,1800,5
Ainc,1,NAD-ME,6.237059823,1.005527736,b,100.35,28.34971809,6.237059823,6.237059823,1800,6
Ainc,1,NAD-ME,10.2571892,2.373665259,b,100.35,28.35713196,10.2571892,10.2571892,1800,6
Ainc,1,NAD-ME,12.92224361,3.829139506,b,100.35,28.3609314,12.92224361,12.92224361,1800,6
Ainc,1,NAD-ME,16.99513276,4.888762041,b,100.35,28.37789154,16.99513276,16.99513276,1800,6
Ainc,1,NAD-ME,20.13976328,5.845170164,b,100.35,28.36440277,20.13976328,20.13976328,1800,6
Ainc,1,NAD-ME,27.59953467,8.322480164,b,100.35,28.366436,27.59953467,27.59953467,1800,6
Ainc,1,NAD-ME,35.86833757,10.08507418,b,100.35,28.39632607,35.86833757,35.86833757,1800,6
Ainc,1,NAD-ME,52.51577273,13.49370719,b,100.35,28.39023209,52.51577273,52.51577273,1800,6
Ainc,1,NAD-ME,70.09272398,15.95235873,b,100.35,28.40024567,70.09272398,70.09272398,1800,6
Ainc,1,NAD-ME,112.3882865,20.70579953,b,100.35,28.39709473,112.3882865,112.3882865,1800,6
Ainc,1,NAD-ME,166.2904578,24.02674015,b,100.35,28.40272903,166.2904578,166.2904578,1800,6
Ainc,1,NAD-ME,200.5494918,26.70163003,b,100.35,28.39670563,200.5494918,200.5494918,1800,6
Ainc,1,NAD-ME,409.5228411,29.32069412,b,100.35,28.36914444,409.5228411,409.5228411,1800,6
Ainc,1,NAD-ME,809.1912686,30.06099886,b,100.35,28.33364487,809.1912686,809.1912686,1800,6
Ainc,1,NAD-ME,1219.885195,31.65809231,b,100.35,28.31555367,1219.885195,1219.885195,1800,6
Ainc,2,NAD-ME,5.109477397,0.067076664,b,100.3,28.57092476,5.109477397,5.109477397,1800,7
Ainc,2,NAD-ME,6.625490415,1.229101621,b,100.3,28.57704735,6.625490415,6.625490415,1800,7
Ainc,2,NAD-ME,9.496780314,2.604880017,b,100.3,28.58877563,9.496780314,9.496780314,1800,7
Ainc,2,NAD-ME,11.60914437,4.033512977,b,100.3,28.58176231,11.60914437,11.60914437,1800,7
Ainc,2,NAD-ME,14.4701479,5.197670923,b,100.3,28.58745575,14.4701479,14.4701479,1800,7
Ainc,2,NAD-ME,17.47973529,6.164511599,b,100.3,28.60010147,17.47973529,17.47973529,1800,7
Ainc,2,NAD-ME,23.47884628,8.152394072,b,100.3,28.60527039,23.47884628,23.47884628,1800,7
Ainc,2,NAD-ME,28.04455298,9.896945551,b,100.3,28.62047768,28.04455298,28.04455298,1800,7
Ainc,2,NAD-ME,33.55395103,11.13634473,b,100.3,28.6408062,33.55395103,33.55395103,1800,7
Ainc,2,NAD-ME,43.94872041,13.79907544,b,100.3,28.65855217,43.94872041,43.94872041,1800,7
Ainc,2,NAD-ME,60.47346391,16.71955987,b,100.3,28.67227173,60.47346391,60.47346391,1800,7
Ainc,2,NAD-ME,90.3122363,22.05957016,b,100.3,28.6722126,90.3122363,90.3122363,1800,7
Ainc,2,NAD-ME,141.6646886,25.29289147,b,100.3,28.68333817,141.6646886,141.6646886,1800,7
Ainc,2,NAD-ME,201.472233,29.33145197,b,100.3,29.06270599,201.472233,201.472233,1800,7
Ainc,2,NAD-ME,319.3504878,31.12908048,b,100.3,29.01071167,319.3504878,319.3504878,1800,7
Ainc,2,NAD-ME,696.5481299,32.47189209,b,100.3,28.88670349,696.5481299,696.5481299,1800,7
Ainc,2,NAD-ME,1315.111363,34.62655425,b,100.3,28.47401428,1315.111363,1315.111363,1800,7
Aretro,1,NAD-ME,1.715337937,1.050133115,a,100.5,31.56003571,1.715337937,1.715337937,1800,8
Aretro,1,NAD-ME,3.322373736,2.843321202,a,100.5,31.55921173,3.322373736,3.322373736,1800,8
Aretro,1,NAD-ME,5.913376632,5.061909451,a,100.5,31.5910511,5.913376632,5.913376632,1800,8
Aretro,1,NAD-ME,8.166129823,7.256869341,a,100.5,31.60387993,8.166129823,8.166129823,1800,8
Aretro,1,NAD-ME,10.49535064,9.26683322,a,100.5,31.60399055,10.49535064,10.49535064,1800,8
Aretro,1,NAD-ME,12.60545771,11.05838672,a,100.5,31.5970211,12.60545771,12.60545771,1800,8
Aretro,1,NAD-ME,17.87011167,14.39660034,a,100.5,31.60912514,17.87011167,17.87011167,1800,8
Aretro,1,NAD-ME,22.55202521,17.3400575,a,100.5,31.61930847,22.55202521,22.55202521,1800,8
